,flat_street,flat_price,flat_room_count,flat_area,flat_district
0,"Лесі Українки бульв., 17",22000,2,45.0,Печерський
1,"Лесі Українки бульв., 17",22000,2,50.0,Печерський
2,"Лесі Українки бульв., 5",20000,2,65.0,Печерський
3,"Лесі Українки бульв., 5",20000,3,65.0,Печерський
4,"Лесі Українки бульв., 17",22000,2,45.0,Печерський
5,"Рудницького Степана вул. (Вільямса академіка), 19/14",25000,2,77.0,Голосіївський
6,"Драгоманова вул., 25",11000,3,70.0,Дарницький
7,"Предславинська вул., 42",55500,3,86.0,Печерський
8,"Златоустівська вул., 30",31450,1,50.0,Шевченківський
9,"Златоустівська вул., 30",31450,2,50.0,Шевченківський
10,"Артилерійський пров., 7А",16000,2,77.0,Шевченківський
11,"Предславинська вул., 42",55500,3,80.0,Печерський
12,"Максимовича вул. (Трутенка Онуфрія), 24б",15000,1,37.0,Голосіївський
13,"Вершигори Петра вул., 1",6000,1,38.0,Дніпровський
14,"Хрещатик вул., 23",44400,3,75.0,Печерський
15,"Гоголевская, 27",17000,1,42.0,Шевченківський
16,"Осокорська вул., 2а",15000,1,26.0,Дарницький
17,"Максимовича вул. (Трутенка Онуфрія), 28б",15000,1,37.0,Голосіївський
18,"Берестейський просп. (Перемоги), 19",14000,3,73.0,Шевченківський
19,"Набережно-Рибальська дорога вул., 9",55500,2,73.0,Подільський
20,"Велика Васильківська вул., 20",22000,3,90.0,Шевченківський
21,"Оболонський просп., 26",36963,2,52.0,Оболонський
22,"Софіївська вул., 2",18000,2,70.0,Шевченківський
23,"Софіївська вул., 2",19000,2,70.0,Шевченківський
24,"Володимира Івасюка просп. (Героїв Сталінграда), 2",48100,4,117.0,Оболонський
25,"Велика Васильківська вул., 20",23000,3,90.0,Шевченківський
26,"Ковпака вул., 17",33300,3,117.0,Печерський
27,"Софіївська вул., 4",19000,2,66.0,Шевченківський
28,"Заболотного академіка вул., 1а",14500,1,41.0,Голосіївський
29,"Лесі Українки бульв., 7В",55500,3,83.0,Печерський
30,"Салютна вул., 2б",24950,3,85.0,Шевченківський
31,"Юлії Здановської вул. (Ломоносова), 71",33300,3,120.0,Голосіївський
32,"Жилянська вул., 59",17000,1,66.0,Голосіївський
33,"Берестейський просп. (Перемоги), 5-В",27750,2,55.0,Шевченківський
34,"Глибочицька вул., 73",29600,2,58.0,Шевченківський
35,"Старонаводницька вул., 4",27750,3,100.0,Печерський
36,"Зарічна вул., 3А",19500,2,50.0,Дарницький
37,"Максимовича вул. (Трутенка Онуфрія), 26б",13500,1,38.0,Голосіївський
38,"Берестейський просп. (Перемоги), 67е",21000,2,70.0,Святошинський
39,"Заболотного академіка вул., 1б",14500,1,41.0,Голосіївський
40,"Берестейський просп. (Перемоги), 19",13000,3,72.0,Шевченківський
42,"Окіпної Раїси вул., 10",37000,5,300.0,Дніпровський
43,"Старонаводницька вул., 6",29600,3,128.0,Печерський
44,"Дегтярна вул., 6",37000,2,77.0,Подільський
45,"Велика Васильківська вул. (Червоноармійська), 47",25000,2,50.0,Печерський
46,"Зарічна вул., 3А",19500,1,50.0,Дарницький
47,"Палладіна академіка просп., 25",12000,2,86.0,Святошинський
48,"Оболонський просп., 27 А",10000,1,37.0,Оболонський
49,"Бориса Гмирі вул., 17",11000,1,42.0,Дарницький
50,"Кловський узвiз, 7",37000,2,85.0,Печерський
51,"Джона Маккейна вул. (Кудрі Івана), 1",51800,2,72.0,Печерський
